Deployment Date,Site,Strata,UTM Zone,Easting Planned,Northing Planned,Easting Actual,Northing Actual,Trap Deployed,Notes
9/15,2007,NC,18S,357157,3854009,357156,3853943,G,
9/15,2007,NC,18S,357207,3854011,357205,3854021,E,
9/15,2007,J,18S,357247,3854037,357260,3854036,F-F,
9/15,2007,J,18S,357225,3853981,357234,3853979,F,
9/15,2015,NC,18S,357275,3853893,357275.9,3853897.3,F-B,
9/15,2015,NC,18S,357263,3853919,357263,3853919,F-G,
9/15,2015,J,18S,357281,3853905,357278.8,3853933.7,F-A,
9/15,2015,J,18S,357281,3853877,357286.2,3853889.1,A,
9/15,2013,NA,18S,357333,3853841,357332.6,3853841.2,F-I,
9/15,2013,NA,18S,357333,3853813,357339.2,3853808.9,B,
9/15,2013,NA,18S,357339,3853809,357311.6,3853780.7,C,Completely submerged
9/15,2013,NA,18S,357317,3853781,357332.9,3853812.8,D,Completely submerged
9/22,2007,NC,18S,357199,3853991,357198,3853990,f-d,tipped
9/22,2007,NC,18S,357222,3854025,357221,3854024,f-e,
9/22,2007,J,18S,357211,3853971,357211,3853971,a,tipped
9/22,2007,J,18S,357231,3854025,357229,3854027,b,
9/22,2007,J,18S,NA,NA,357230.8,3854025.2,light trap,
9/22,2015,NC,18S,357241,3853913,357240.5,3853913.7,,
9/22,2015,NC,18S,357255,3853919,357256.2,3853924.4,,
9/22,2015,J,18S,357247,3853891,357248,3853893,,
9/22,2015,J,18S,357235,3853875,357237,3853893,,
,2015,NA,18S,,,357254.4,3853907.1,Light Trap,
9/22,2013,NA,18S,357331,3853815,357330.8,3853814.9,F-J,
9/22,2013,NA,18S,357313,3853779,357312.8,3853778.8,F-H,
9/22,2013,NA,18S,357283,3853789,357283,3853789.1,F-C,tipped
9/22,2013,NA,18S,357271,3853801,357271.3,3853801.1,F-A,tipped
,2013,NA,18S,,,357330.8,3853814.9,Light Trap,
9/30,2007,J,18S,357259,3854027,357259.9,3854029.3,F-B,
9/30,2007,NC,18S,357181,3853969,357183.2,3853969.9,F-G,
9/30,2007,NC,18S,357223,3854027,357221.3,3854021.1,G,
9/30,2007,J,18S,357223,3854005,357224.9,3854007.9,F-J,
9/30,2007,NA,18S,,,357248.4,3854027,Light Trap,
9/30,2013,NA,18S,357299,3853823,357301.8,3853823.9,F-C,
9/30,2013,NA,18S,357325,3853809,357302.9,3853830.2,F-I,
9/30,2013,NA,18S,357325,3853833,357302,3853776.9,F-F,
9/30,2013,NA,18S,357325,3853771,357329.7,3853816.8,F-E,
9/30,2013,NA,18S,,,357323.7,3853788,Light Trap,
9/30,2015,NC,18S,357263,3853915,357263.3,3853915,F-A,
9/30,2015,NC,18S,357219,3853915,357219.3,3853914.8,F,
9/30,2015,J,18S,357297,3853899,357297.3,3853898.9,F-H,
9/30,2015,J,18S,357249,3853943,357249.1,3853943.2,A,
10/6,2007,J,18S,357247,3854027,357246.9,3854027,b,tipped
10/6,2007,NC,18S,357213,3854027,357212.7,38540271.1,f-j,tipped
10/6,2007,J,18S,357193,3853955,357192.8,3853955.1,f-h,
10/6,2007,NC,18S,357217,3854017,357216.7,3854016.9,f-d,
10/6,2015,NC,18S,357267,3853933,357267.7,3853931.7,F-A,partial tip
10/6,2015,NC,18S,357275,3853941,357274.4,3853940.4,F-I,tipped
10/6,2015,J,18S,357253,3853895,357252,3853894.5,F-F,
10/6,2015,J,18S,357249,3853863,357255.9,3853863.7,F-E,
10/6,2013,NA,18S,357303,3853819,NA,NA,f-g,
10/6,2013,NA,18S,357319,3853805,NA,NA,g,
10/6,2013,NA,18S,357295,3853805,NA,NA,f-c,
10/6,2013,NA,18S,357277,3853759,357294.2,3953755.8,f-b,
10/13,2007,NC,18S,357281,3854077,357281.2,3854076.8,f-a,
10/13,2007,J,18S,357249,3854031,357251.67,3854018.17,f-c,
10/13,2007,J,18S,357237,3854003,367236.8,3854003.1,f-i,
10/13,2007,NC,18S,357185,3853991,357184.9,3853991.1,f-e,
10/13,2013,NA,18S,357317,3853835,357317.3,3853835.1,f-f,
10/13,2013,NA,18S,357301,3853831,357301.1,3853831.1,f-b,
10/13,2013,NA,18S,357303,3853789,357303.3,3853789.2,f-d,
10/13,2013,NA,18S,357265,3853783,357264.8,3853783,f-j,
10/13,2015,J,18S,357305,3853887,357304.8,3853886.9,,
10/13,2015,NC,18S,357257,3853897,357256.7,3853897,,
10/13,2015,J,18S,357241,3853885,357241.2,3853884.9,,
10/13,2015,NC,18S,357221,3853911,357220.6,3853911.1,,
