"","Site","Strata","species","cpue"
"1",2007,"J","Diptera",4
"2",2007,"J","Diptera",33
"3",2007,"J","Diptera",2
"4",2007,"J","Diptera",9
"5",2007,"NC","Diptera",0
"6",2007,"NC","Diptera",7
"7",2007,"NC","Diptera",7
"8",2007,"NC","Diptera",6
"9",2013,"HP","Diptera",14
"10",2013,"HP","Diptera",11
"11",2013,"HP","Diptera",1
"12",2013,"HP","Diptera",17
"13",2013,"HP","Diptera",7
"14",2013,"HP","Diptera",6
"15",2013,"HP","Diptera",17
"16",2013,"HP","Diptera",6
"17",2015,"J","Diptera",2
"18",2015,"J","Diptera",2
"19",2015,"J","Diptera",2
"20",2015,"J","Diptera",1
"21",2015,"J","Diptera",5
"22",2015,"NC","Diptera",9
"23",2015,"NC","Diptera",11
"24",2015,"NC","Diptera",1
"25",2015,"NC","Diptera",3
"26",2007,"J","Hemiptera",0
"27",2007,"J","Hemiptera",0
"28",2007,"J","Hemiptera",0
"29",2007,"J","Hemiptera",0
"30",2007,"NC","Hemiptera",1
"31",2007,"NC","Hemiptera",0
"32",2007,"NC","Hemiptera",1
"33",2007,"NC","Hemiptera",0
"34",2013,"HP","Hemiptera",1
"35",2013,"HP","Hemiptera",0
"36",2013,"HP","Hemiptera",0
"37",2013,"HP","Hemiptera",0
"38",2013,"HP","Hemiptera",0
"39",2013,"HP","Hemiptera",0
"40",2013,"HP","Hemiptera",0
"41",2013,"HP","Hemiptera",0
"42",2015,"J","Hemiptera",0
"43",2015,"J","Hemiptera",0
"44",2015,"J","Hemiptera",0
"45",2015,"J","Hemiptera",0
"46",2015,"J","Hemiptera",0
"47",2015,"NC","Hemiptera",2
"48",2015,"NC","Hemiptera",2
"49",2015,"NC","Hemiptera",1
"50",2015,"NC","Hemiptera",0
"51",2007,"J","Mantophasmatodea",0
"52",2007,"J","Mantophasmatodea",1
"53",2007,"J","Mantophasmatodea",0
"54",2007,"J","Mantophasmatodea",0
"55",2007,"NC","Mantophasmatodea",1
"56",2007,"NC","Mantophasmatodea",0
"57",2007,"NC","Mantophasmatodea",0
"58",2007,"NC","Mantophasmatodea",0
"59",2013,"HP","Mantophasmatodea",0
"60",2013,"HP","Mantophasmatodea",0
"61",2013,"HP","Mantophasmatodea",0
"62",2013,"HP","Mantophasmatodea",0
"63",2013,"HP","Mantophasmatodea",0
"64",2013,"HP","Mantophasmatodea",0
"65",2013,"HP","Mantophasmatodea",0
"66",2013,"HP","Mantophasmatodea",0
"67",2015,"J","Mantophasmatodea",0
"68",2015,"J","Mantophasmatodea",0
"69",2015,"J","Mantophasmatodea",0
"70",2015,"J","Mantophasmatodea",0
"71",2015,"J","Mantophasmatodea",0
"72",2015,"NC","Mantophasmatodea",0
"73",2015,"NC","Mantophasmatodea",2
"74",2015,"NC","Mantophasmatodea",0
"75",2015,"NC","Mantophasmatodea",0
"76",2007,"J","Araneae",0
"77",2007,"J","Araneae",0
"78",2007,"J","Araneae",0
"79",2007,"J","Araneae",0
"80",2007,"NC","Araneae",0
"81",2007,"NC","Araneae",0
"82",2007,"NC","Araneae",1
"83",2007,"NC","Araneae",1
"84",2013,"HP","Araneae",0
"85",2013,"HP","Araneae",0
"86",2013,"HP","Araneae",0
"87",2013,"HP","Araneae",0
"88",2013,"HP","Araneae",0
"89",2013,"HP","Araneae",0
"90",2013,"HP","Araneae",0
"91",2013,"HP","Araneae",0
"92",2015,"J","Araneae",0
"93",2015,"J","Araneae",1
"94",2015,"J","Araneae",2
"95",2015,"J","Araneae",0
"96",2015,"J","Araneae",1
"97",2015,"NC","Araneae",0
"98",2015,"NC","Araneae",1
"99",2015,"NC","Araneae",0
"100",2015,"NC","Araneae",0
"101",2007,"J","Coleoptera",0
"102",2007,"J","Coleoptera",0
"103",2007,"J","Coleoptera",0
"104",2007,"J","Coleoptera",0
"105",2007,"NC","Coleoptera",0
"106",2007,"NC","Coleoptera",2
"107",2007,"NC","Coleoptera",0
"108",2007,"NC","Coleoptera",0
"109",2013,"HP","Coleoptera",0
"110",2013,"HP","Coleoptera",0
"111",2013,"HP","Coleoptera",0
"112",2013,"HP","Coleoptera",0
"113",2013,"HP","Coleoptera",0
"114",2013,"HP","Coleoptera",0
"115",2013,"HP","Coleoptera",0
"116",2013,"HP","Coleoptera",0
"117",2015,"J","Coleoptera",0
"118",2015,"J","Coleoptera",0
"119",2015,"J","Coleoptera",0
"120",2015,"J","Coleoptera",0
"121",2015,"J","Coleoptera",0
"122",2015,"NC","Coleoptera",0
"123",2015,"NC","Coleoptera",0
"124",2015,"NC","Coleoptera",0
"125",2015,"NC","Coleoptera",0
