"","site","Strata","species","cpue"
"1",2007,"J","j.roemerianus",78
"2",2007,"NC","j.roemerianus",0
"3",2015,"J","j.roemerianus",58
"4",2015,"NC","j.roemerianus",0
"5",2013,"HP","j.roemerianus",32
"6",2015,"J","j.roemerianus",29
"7",2015,"NC","j.roemerianus",0
"8",2007,"J","j.roemerianus",36
"9",2007,"NC","j.roemerianus",0
"10",2013,"HP","j.roemerianus",0
"11",2013,"HP","j.roemerianus",0
"12",2013,"HP","j.roemerianus",0
"13",2013,"HP","j.roemerianus",0
"14",2015,"J","j.roemerianus",52
"15",2015,"NC","j.roemerianus",3
"16",2007,"J","j.roemerianus",29
"17",2007,"NC","j.roemerianus",0
"18",2007,"J","j.roemerianus",27
"19",2007,"NC","j.roemerianus",0
"20",2013,"HP","j.roemerianus",0
"21",2013,"HP","j.roemerianus",0
"22",2015,"NC","j.roemerianus",0
"23",2015,"J","j.roemerianus",32
"24",2013,"HP","j.roemerianus",0
"25",2013,"HP","j.roemerianus",0
"26",2015,"J","j.roemerianus",17
"27",2015,"NC","j.roemerianus",2
"28",2007,"J","j.roemerianus",1
"29",2007,"NC","j.roemerianus",4
"30",2007,"J","s.patens",0
"31",2007,"NC","s.patens",0
"32",2015,"J","s.patens",0
"33",2015,"NC","s.patens",0
"34",2013,"HP","s.patens",0
"35",2015,"J","s.patens",0
"36",2015,"NC","s.patens",0
"37",2007,"J","s.patens",0
"38",2007,"NC","s.patens",87
"39",2013,"HP","s.patens",0
"40",2013,"HP","s.patens",0
"41",2013,"HP","s.patens",0
"42",2013,"HP","s.patens",0
"43",2015,"J","s.patens",0
"44",2015,"NC","s.patens",0
"45",2007,"J","s.patens",0
"46",2007,"NC","s.patens",5
"47",2007,"J","s.patens",14
"48",2007,"NC","s.patens",0
"49",2013,"HP","s.patens",0
"50",2013,"HP","s.patens",0
"51",2015,"NC","s.patens",0
"52",2015,"J","s.patens",0
"53",2013,"HP","s.patens",0
"54",2013,"HP","s.patens",0
"55",2015,"J","s.patens",0
"56",2015,"NC","s.patens",0
"57",2007,"J","s.patens",50
"58",2007,"NC","s.patens",40
"59",2007,"J","s.alterniflora",0
"60",2007,"NC","s.alterniflora",0
"61",2015,"J","s.alterniflora",0
"62",2015,"NC","s.alterniflora",6
"63",2013,"HP","s.alterniflora",0
"64",2015,"J","s.alterniflora",0
"65",2015,"NC","s.alterniflora",5
"66",2007,"J","s.alterniflora",0
"67",2007,"NC","s.alterniflora",2
"68",2013,"HP","s.alterniflora",5
"69",2013,"HP","s.alterniflora",1
"70",2013,"HP","s.alterniflora",5
"71",2013,"HP","s.alterniflora",6
"72",2015,"J","s.alterniflora",0
"73",2015,"NC","s.alterniflora",17
"74",2007,"J","s.alterniflora",0
"75",2007,"NC","s.alterniflora",9
"76",2007,"J","s.alterniflora",0
"77",2007,"NC","s.alterniflora",7
"78",2013,"HP","s.alterniflora",3
"79",2013,"HP","s.alterniflora",0
"80",2015,"NC","s.alterniflora",2
"81",2015,"J","s.alterniflora",0
"82",2013,"HP","s.alterniflora",0
"83",2013,"HP","s.alterniflora",0
"84",2015,"J","s.alterniflora",0
"85",2015,"NC","s.alterniflora",8
"86",2007,"J","s.alterniflora",25
"87",2007,"NC","s.alterniflora",2
"88",2007,"J","s.sempervirens",0
"89",2007,"NC","s.sempervirens",0
"90",2015,"J","s.sempervirens",0
"91",2015,"NC","s.sempervirens",0
"92",2013,"HP","s.sempervirens",1
"93",2015,"J","s.sempervirens",0
"94",2015,"NC","s.sempervirens",24
"95",2007,"J","s.sempervirens",0
"96",2007,"NC","s.sempervirens",0
"97",2013,"HP","s.sempervirens",0
"98",2013,"HP","s.sempervirens",0
"99",2013,"HP","s.sempervirens",0
"100",2013,"HP","s.sempervirens",0
"101",2015,"J","s.sempervirens",0
"102",2015,"NC","s.sempervirens",0
"103",2007,"J","s.sempervirens",0
"104",2007,"NC","s.sempervirens",0
"105",2007,"J","s.sempervirens",0
"106",2007,"NC","s.sempervirens",0
"107",2013,"HP","s.sempervirens",0
"108",2013,"HP","s.sempervirens",0
"109",2015,"NC","s.sempervirens",1
"110",2015,"J","s.sempervirens",0
"111",2013,"HP","s.sempervirens",0
"112",2013,"HP","s.sempervirens",0
"113",2015,"J","s.sempervirens",0
"114",2015,"NC","s.sempervirens",0
"115",2007,"J","s.sempervirens",0
"116",2007,"NC","s.sempervirens",0
"117",2007,"J","a.glomeratus",0
"118",2007,"NC","a.glomeratus",12
"119",2015,"J","a.glomeratus",0
"120",2015,"NC","a.glomeratus",0
"121",2013,"HP","a.glomeratus",0
"122",2015,"J","a.glomeratus",0
"123",2015,"NC","a.glomeratus",0
"124",2007,"J","a.glomeratus",0
"125",2007,"NC","a.glomeratus",0
"126",2013,"HP","a.glomeratus",0
"127",2013,"HP","a.glomeratus",0
"128",2013,"HP","a.glomeratus",0
"129",2013,"HP","a.glomeratus",0
"130",2015,"J","a.glomeratus",0
"131",2015,"NC","a.glomeratus",0
"132",2007,"J","a.glomeratus",0
"133",2007,"NC","a.glomeratus",0
"134",2007,"J","a.glomeratus",0
"135",2007,"NC","a.glomeratus",0
"136",2013,"HP","a.glomeratus",0
"137",2013,"HP","a.glomeratus",0
"138",2015,"NC","a.glomeratus",0
"139",2015,"J","a.glomeratus",0
"140",2013,"HP","a.glomeratus",0
"141",2013,"HP","a.glomeratus",0
"142",2015,"J","a.glomeratus",0
"143",2015,"NC","a.glomeratus",0
"144",2007,"J","a.glomeratus",0
"145",2007,"NC","a.glomeratus",0
