"","Site","Strata","species","cpue"
"1",2007,"J","Diptera",0
"2",2007,"J","Diptera",0
"3",2007,"NC","Diptera",0
"4",2007,"NC","Diptera",0
"5",2007,"NC","Diptera",1
"6",2007,"NC","Diptera",0
"7",2013,"HP","Diptera",1
"8",2013,"HP","Diptera",0
"9",2013,"HP","Diptera",0
"10",2015,"J","Diptera",1
"11",2015,"NC","Diptera",0
"12",2015,"NC","Diptera",0
"13",2015,"NC","Diptera",0
"14",2015,"NC","Diptera",0
"15",2015,"NC","Diptera",1
"26",2007,"J","Hemiptera",3
"27",2007,"J","Hemiptera",0
"28",2007,"NC","Hemiptera",4
"29",2007,"NC","Hemiptera",2
"30",2007,"NC","Hemiptera",0
"31",2007,"NC","Hemiptera",1
"32",2013,"HP","Hemiptera",0
"33",2013,"HP","Hemiptera",1
"34",2013,"HP","Hemiptera",0
"35",2015,"J","Hemiptera",0
"36",2015,"NC","Hemiptera",0
"37",2015,"NC","Hemiptera",0
"38",2015,"NC","Hemiptera",1
"39",2015,"NC","Hemiptera",0
"40",2015,"NC","Hemiptera",0
"51",2007,"J","Hymenoptera",0
"52",2007,"J","Hymenoptera",1
"53",2007,"NC","Hymenoptera",0
"54",2007,"NC","Hymenoptera",0
"55",2007,"NC","Hymenoptera",0
"56",2007,"NC","Hymenoptera",0
"57",2013,"HP","Hymenoptera",0
"58",2013,"HP","Hymenoptera",0
"59",2013,"HP","Hymenoptera",1
"60",2015,"J","Hymenoptera",0
"61",2015,"NC","Hymenoptera",0
"62",2015,"NC","Hymenoptera",0
"63",2015,"NC","Hymenoptera",0
"64",2015,"NC","Hymenoptera",0
"65",2015,"NC","Hymenoptera",0
"76",2007,"J","Araneae",0
"77",2007,"J","Araneae",0
"78",2007,"NC","Araneae",0
"79",2007,"NC","Araneae",1
"80",2007,"NC","Araneae",0
"81",2007,"NC","Araneae",0
"82",2013,"HP","Araneae",0
"83",2013,"HP","Araneae",0
"84",2013,"HP","Araneae",0
"85",2015,"J","Araneae",0
"86",2015,"NC","Araneae",3
"87",2015,"NC","Araneae",1
"88",2015,"NC","Araneae",1
"89",2015,"NC","Araneae",2
"90",2015,"NC","Araneae",1
"101",2007,"J","Coleoptera",1
"102",2007,"J","Coleoptera",0
"103",2007,"NC","Coleoptera",2
"104",2007,"NC","Coleoptera",0
"105",2007,"NC","Coleoptera",0
"106",2007,"NC","Coleoptera",0
"107",2013,"HP","Coleoptera",0
"108",2013,"HP","Coleoptera",0
"109",2013,"HP","Coleoptera",0
"110",2015,"J","Coleoptera",9
"111",2015,"NC","Coleoptera",9
"112",2015,"NC","Coleoptera",2
"113",2015,"NC","Coleoptera",2
"114",2015,"NC","Coleoptera",4
"115",2015,"NC","Coleoptera",1
