Site,Sampling Date,Strata,Juncus roemerianus,Spartina alterniflora,Spartina patens,Solidago Sempervirens,Pluchea odorata,Bolboschoenus robustus,Typha latifolia,Andropogon glomeratus,Unid1,,,,,,,,,
2007,9/16,J,78,0,0,0,0,0,0,0,0,,,,,,,,,
2007,9/16,NC,0,0,0,0,0,0,0,12,0,,,,,,,,,
2015,9/16,J,58,0,0,0,0,0,0,0,0,,,,,,,,,
2015,9/16,NC,0,6,0,0,0,0,0,0,0,,,,,,,,,
2013,9/16,HP,32,0,0,1,0,0,0,0,1,,,,,,,,,
2015,9/23,J,29,0,0,0,12,0,0,0,0,,,,,,,,,
2015,9/23,NC,0,5,0,24,0,0,0,0,0,,,,,,,,,
2007,9/23,J,36,0,0,0,1,0,0,0,0,,,,,,,,,
2007,9/23,NC,0,2,87,0,0,0,0,0,0,,,,,,,,,
2013,9/23,HP,0,5,0,0,0,0,0,0,0,,,,,,,,,
2013,9/23,HP,0,1,0,0,0,1,0,0,0,,,,,,,,,
2013,10/1,HP,0,5,0,0,0,0,12,0,0,,,,,,,,,
2013,10/1,HP,0,6,0,0,0,0,4,0,0,,,,,,,,,
2015,10/1,J,52,0,0,0,2,0,0,0,0,,,,,,,,,
2015,10/1,NC,3,17,0,0,0,0,0,0,0,,,,,,,,,
2007,10/1,J,29,0,0,0,0,0,0,0,0,,,,,,,,,
2007,10/1,NC,0,9,5,0,0,0,0,0,0,,,,,,,,,
2007,10/7,J,27,0,14,0,0,0,0,0,0,,,,,,,,,
2007,10/7,NC,0,7,0,0,0,0,0,0,0,,,,,,,,,
2013,10/7,HP,0,3,0,0,0,0,1,0,0,,,,,,,,,
2013,10/7,HP,0,0,0,0,0,6,0,0,0,,,,,,,,,
2015,10/7,NC,0,2,0,1,5,0,0,0,0,,,,,,,,,
2015,10/7,J,32,0,0,0,1,0,0,0,1,,,,,,,,,
2013,10/13,HP,0,0,0,0,0,0,2,0,0,,,,,,,,,
2013,10/13,HP,0,0,0,0,0,0,4,0,0,,,,,,,,,
2015,10/13,J,17,0,0,0,0,0,0,0,0,,,,,,,,,
2015,10/13,NC,2,8,0,0,0,0,0,0,0,,,,,,,,,
2007,10/13,J,1,25,50,0,0,0,0,0,0,,,,,,,,,
2007,10/13,NC,4,2,40,0,1,0,0,0,0,,,,,,,,,
